,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
0,769573904,Tarnowskie Góry,tarnowskie-gory,,Śląskie,slaskie,"Kawalerka, CENTRUM TG, umeblowana!",1350.0,PLN,4,yes,blok,30,one,1
1,769246779,Łódź,lodz,Śródmieście,Łódzkie,lodzkie,"Kawalerka M2, Łódź Śródmieście ul. Styrska/Lumumby,Uniwersytet Łódzki",1800.0,PLN,4,yes,blok,21,one,600
2,687708867,Lublin,lublin,,Lubelskie,lubelskie,Mini kawalerka NOWA,1650.0,PLN,2,yes,blok,17,one,1
3,635625156,Reda,reda,,Pomorskie,pomorskie,Mieszkanie 38 m2 Reda,2300.0,PLN,1,yes,apartamentowiec,36,two,300
4,770502549,Warszawa,warszawa,Białołęka,Mazowieckie,mazowieckie,"Wynajem od sierpnia, dwupokojowe, Tarchomin",2600.0,PLN,1,yes,blok,35,two,1
5,770502215,Nysa,nysa,,Opolskie,opolskie,Mieszkanie na wynajem w pełni umeblowane,1850.0,PLN,3,yes,blok,50,two,1850
6,770502583,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"3 pokoje, balkon, umeblowane, Osiedle 6 Planet",2500.0,PLN,1,yes,apartamentowiec,66,three,360
7,770502199,Ostrowiec Świętokrzyski,ostrowiec-swietokrzyski,,Świętokrzyskie,swietokrzyskie,Wynajmę mieszkanie 2-pokojowe 60m,1250.0,PLN,2,yes,kamienica,60,two,250
8,770501996,Kłodzko,klodzko,,Dolnośląskie,dolnoslaskie,Wynajmę kawalerke,900.0,PLN,2,yes,blok,26,one,600
9,770490431,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Wynajmę bezpośrednio 3 pokoje, Bydgoszcz Fordon - osiedle Bajka.",2000.0,PLN,3,yes,blok,61,three,530
10,689640523,Wrocław,wroclaw,Fabryczna,Dolnośląskie,dolnoslaskie,Wynajmę mieszkanie na ul. Rodziewiczowny 49m2 od sierpnia,3000.0,PLN,4,yes,blok,49,two,500
11,766761937,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"3-pokojowe mieszkanie 60m2 - wysoki standard,  Rzeszów, Kwiatkowskiego",3000.0,PLN,1,yes,blok,60,three,1
12,770501904,Poznań,poznan,Stare Miasto,Wielkopolskie,wielkopolskie,Top Lokalizacja Kawalerka w ścisłym centrum,2400.0,PLN,Parter,yes,kamienica,34,one,1
13,769411577,Kraków,krakow,Prądnik Biały,Małopolskie,malopolskie,Wynajmę mieszkanie os. Gotyk/Prądnik Biały z dużym balkonem,2700.0,PLN,Parter,yes,blok,58,two,620
14,762366820,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajme kawalerka  w Bydgoszczy,1300.0,PLN,2,yes,blok,20,one,400
15,726823216,Katowice,katowice,Śródmieście,Śląskie,slaskie,Nowoczesne mieszkanie do wynajęcia - Katowice Śródmieście 1850+czynsz,1850.0,PLN,2,yes,blok,53,two,500
16,770501323,Kraków,krakow,Krowodrza,Małopolskie,malopolskie,"Kraków Krowodrza, Józefitów",3500.0,PLN,3,no,kamienica,64,three,600
17,766742937,Warszawa,warszawa,Śródmieście,Mazowieckie,mazowieckie,Wynajme mieszkanie Metro Ratusz Arsenał,3700.0,PLN,Parter,yes,blok,35,two,1
18,770094243,Warszawa,warszawa,Bemowo,Mazowieckie,mazowieckie,Wynajmę Atrakcyjne mieszkanie obok Wola Park ; blisko METRA Ulrychów,4000.0,PLN,5,yes,blok,61,two,1
19,769889262,Opalenica,opalenica_69947,,Wielkopolskie,wielkopolskie,Mieszkanie do wynajęcia w centrum Opalenicy,2500.0,PLN,Parter,no,pozostale,50,three,600
20,767368488,Ostrzeszów,ostrzeszow,,Wielkopolskie,wielkopolskie,Mieszkanie 40 m2 do wynajęcia Ostrzeszów,1600.0,PLN,1,yes,wolnostojacy,40,two,400
21,770501054,Łódź,lodz,Polesie,Łódzkie,lodzkie,Wynajmę kawalerkę,1200.0,PLN,1,yes,blok,32,one,500
22,770501008,Wrocław,wroclaw,Fabryczna,Dolnośląskie,dolnoslaskie,Dwupokojowe mieszkanie Muchobór Wielki,2500.0,PLN,2,yes,apartamentowiec,36,two,200
23,770500920,Katowice,katowice,Brynów-cz. Wsch.-Osiedle Zgrzebioka,Śląskie,slaskie,2pok z klimą i garazem 1szy najem wysoki standard od zaraz KLUCZE,2400.0,PLN,5,yes,apartamentowiec,42,two,486
24,755091773,Zblewo,zblewo,,Pomorskie,pomorskie,Nowe mieszkanie do wynajęcia,1850.0,PLN,1,yes,blok,50,three,500
25,651343119,Legnica,legnica,,Dolnośląskie,dolnoslaskie,Mieszkanie 3 pokojowe na Koperniku,1650.0,PLN,9,yes,blok,54,three,500
26,757012074,Łódź,lodz,Śródmieście,Łódzkie,lodzkie,"RENTAROOM.PL Speak Eng Manufaktura,Piotrkowska ul.Zielona",1400.0,PLN,2,yes,blok,22,one,300
27,769425477,Warszawa,warszawa,Ochota,Mazowieckie,mazowieckie,2-pokojowe ciche mieszkanie z oddzielna kuchnia - Ochota,2300.0,PLN,Parter,yes,blok,41,two,2.25
28,770120632,Gniezno,gniezno,,Wielkopolskie,wielkopolskie,Wynajme dwu pokojowe 38m2  po generalnym remoncie,1500.0,PLN,4,yes,blok,38,two,310
29,769348604,Sosnowiec,sosnowiec,,Śląskie,slaskie,Do wynajecia piękna kawalerka w Sosnowcu,1750.0,PLN,1,yes,blok,25,one,1
30,770500126,Kętrzyn,ketrzyn,,Warmińsko-mazurskie,warminsko-mazurskie,Kawalerka Kętrzyn,850.0,PLN,1,yes,blok,30,one,1
31,770500078,Szczytno,szczytno,,Warmińsko-mazurskie,warminsko-mazurskie,Mieszkanie kawalerka 1200 zł,1200.0,PLN,Parter,yes,blok,28,one,200
32,770500066,Warszawa,warszawa,Ursynów,Mazowieckie,mazowieckie,3 osobne pokoje 67 m2 / Ursynów ul. ZWM / Metro Stokłosy / SGGW,3500.0,PLN,3,yes,blok,67,three,1
